16:44:25.039244 config: drop-rate=0.2, max-delay=10s, seed=1 router is listening at :3000
20:51:47.219702 [queue=4] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 9ms
20:51:47.219702 [queue=4] packet #96, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.220702 [queue=2] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.220702 [queue=2] packet #98, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.220702 [queue=2] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:47.223703 [queue=1] packet #97, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.223703 [queue=2] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 2.4ms
20:51:47.224703 [queue=3] packet #99, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 2ms
20:51:47.226703 [queue=1] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.227703 [queue=1] packet #99, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.227703 [queue=2] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 6.4ms
20:51:47.228703 [queue=1] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.229703 [queue=2] packet #100, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 5.4ms
20:51:47.235703 [queue=0] packet #100, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.235703 [queue=0] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.235703 [queue=1] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 100µs
20:51:47.237703 [queue=0] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.540721 [queue=1] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4.1ms
20:51:47.545721 [queue=1] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 1.3ms
20:51:47.545721 [queue=1] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.545721 [queue=2] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 7.1ms
20:51:47.547721 [queue=1] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.547721 [queue=2] packet #92, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 1.1ms
20:51:47.549721 [queue=1] packet #92, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.550721 [queue=2] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 6.3ms
20:51:47.554722 [queue=1] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.555722 [queue=2] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4.8ms
20:51:47.557722 [queue=1] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
